marriage_id,clan_id,spouse_a_id,spouse_b_id,marry_year,divorce_year
1,1,1,2,1860,
2,1,3,4,1865,
3,1,5,6,1862,
4,1,7,8,1866,
5,1,9,10,1864,
6,1,11,12,1872,
7,1,13,14,1874,
8,1,15,16,1870,1904
9,1,17,18,1877,
10,1,19,20,1868,
11,1,21,22,1868,
12,1,23,24,1871,
13,1,25,26,1876,
14,1,27,28,1870,
15,1,29,30,1872,
16,1,31,32,1883,
17,1,33,34,1878,
18,1,35,36,1882,
19,1,37,38,1859,
20,1,39,40,1870,1888
21,1,41,42,1866,
22,1,43,44,1869,
23,1,45,46,1870,
24,1,47,48,1871,
25,1,49,50,1862,
26,1,51,52,1870,
27,1,53,54,1879,1901
28,1,55,56,1872,
29,1,57,58,1874,
30,1,59,60,1875,
31,1,61,62,1879,
32,1,63,64,1875,
33,1,65,66,1880,
34,1,67,68,1882,
35,1,69,70,1878,
36,1,71,72,1876,
37,1,73,74,1867,
38,1,75,76,1859,
39,1,77,78,1869,
40,1,79,80,1874,
41,1,81,82,1861,
42,1,83,84,1863,
43,1,85,86,1865,
44,1,87,88,1878,
45,1,89,90,1867,
46,1,91,92,1879,
47,1,93,94,1870,
48,1,95,96,1877,1906
49,1,97,98,1874,1888
50,1,99,100,1877,
51,1,101,102,1875,
52,1,103,104,1887,
53,1,105,106,1884,
54,1,107,108,1877,
55,1,109,110,1867,
56,1,111,112,1866,
57,1,113,114,1869,
58,1,115,116,1864,
59,1,117,118,1866,
60,1,119,120,1867,
61,1,121,122,1868,
62,1,123,124,1873,1904
63,1,125,126,1864,
64,1,127,128,1874,
65,1,129,130,1869,
66,1,131,132,1878,
67,1,134,133,1893,
68,1,139,138,1908,
69,1,141,140,1892,
70,1,142,143,1907,
71,1,145,144,1893,1926
72,1,146,147,1894,1904
73,1,149,148,1891,
74,1,150,151,1896,
75,1,153,152,1888,1906
76,1,154,155,1889,
77,1,157,156,1904,
78,1,158,159,1900,
79,1,162,161,1900,
80,1,164,163,1901,
81,1,168,167,1901,
82,1,170,169,1906,
83,1,172,171,1904,
84,1,174,173,1903,1930
85,1,175,176,1897,
86,1,177,178,1900,
87,1,179,180,1904,
88,1,182,181,1902,1909
89,1,183,184,1904,
90,1,186,187,1898,
91,1,188,189,1902,
92,1,191,190,1895,
93,1,193,192,1899,
94,1,194,195,1908,
95,1,196,197,1890,
96,1,198,199,1896,
97,1,201,200,1904,
98,1,203,204,1915,
99,1,206,205,1902,1908
100,1,209,210,1918,
101,1,211,212,1898,
102,1,214,215,1911,
103,1,216,217,1912,
104,1,218,219,1913,
105,1,220,221,1906,
106,1,222,223,1915,
107,1,225,224,1911,
108,1,227,226,1913,1927
109,1,229,228,1905,
110,1,233,232,1892,
111,1,236,235,1893,
112,1,238,237,1899,
113,1,240,239,1898,
114,1,242,241,1905,
115,1,246,245,1897,
116,1,247,248,1898,1916
117,1,249,250,1904,1917
118,1,252,253,1905,
119,1,255,254,1893,
120,1,257,256,1911,1915
121,1,258,259,1893,
122,1,261,260,1910,1942
123,1,263,262,1905,
124,1,264,265,1898,
125,1,266,267,1897,
126,1,269,270,1889,
127,1,272,271,1894,
128,1,274,273,1890,
129,1,276,275,1891,
130,1,278,279,1912,
131,1,282,281,1898,1922
132,1,285,284,1911,
133,1,286,287,1908,
134,1,289,288,1896,
135,1,290,291,1903,
136,1,292,293,1905,
137,1,295,294,1902,1910
138,1,298,297,1910,
139,1,302,301,1907,
140,1,303,304,1907,
141,1,305,306,1899,1917
142,1,308,309,1902,
143,1,310,311,1909,1918
144,1,313,312,1906,
145,1,315,314,1899,
146,1,317,316,1921,
147,1,318,319,1911,
148,1,322,321,1904,
149,1,325,324,1903,
150,1,327,326,1908,
151,1,329,328,1913,
152,1,331,330,1905,
153,1,332,333,1891,
154,1,335,334,1904,
155,1,336,337,1910,
156,1,339,338,1905,
157,1,341,340,1896,
158,1,344,345,1905,1917
159,1,347,346,1896,
160,1,352,351,1901,
161,1,353,354,1904,
162,1,355,356,1910,
163,1,357,358,1895,
164,1,360,361,1883,1899
165,1,364,363,1889,1911
166,1,365,366,1887,
167,1,368,367,1901,
168,1,370,369,1896,1907
169,1,371,372,1919,
170,1,374,373,1920,
171,1,375,376,1905,
172,1,378,379,1893,
173,1,383,382,1891,
174,1,386,385,1918,
175,1,388,389,1907,
176,1,391,390,1898,
177,1,392,393,1901,
178,1,396,395,1920,
179,1,397,398,1904,
180,1,400,399,1911,
181,1,402,401,1909,
182,1,403,404,1912,
183,1,405,406,1904,
184,1,408,409,1919,
185,1,411,410,1917,1928
186,1,412,413,1897,
187,1,415,416,1912,
188,1,417,418,1910,
189,1,419,420,1923,
190,1,422,421,1924,1943
191,1,424,423,1924,
192,1,425,426,1918,
193,1,427,428,1911,1933
194,1,430,429,1912,
195,1,434,433,1887,
196,1,435,436,1892,
197,1,437,438,1895,
198,1,440,439,1902,
199,1,442,441,1900,
200,1,443,444,1899,
201,1,445,446,1896,
202,1,447,448,1902,
203,1,449,450,1908,
204,1,451,452,1909,
205,1,454,453,1904,1910
206,1,455,456,1897,
207,1,457,458,1888,
208,1,459,460,1885,
209,1,461,462,1894,1910
210,1,463,464,1902,
211,1,465,466,1889,
212,1,468,467,1901,
213,1,470,469,1895,1928
214,1,471,472,1901,
215,1,474,475,1892,
216,1,476,477,1894,
217,1,479,478,1896,1905
218,1,480,481,1895,
219,1,482,483,1896,
220,1,485,486,1905,
221,1,488,487,1894,
222,1,489,490,1898,
223,1,492,491,1891,
224,1,494,493,1918,1944
225,1,495,496,1906,
226,1,497,498,1906,
227,1,499,500,1899,
228,1,503,502,1896,
229,1,507,506,1905,
230,1,509,508,1909,
231,1,510,511,1906,
232,1,513,512,1912,1924
233,1,514,515,1917,
234,1,517,516,1921,
235,1,518,519,1930,
236,1,521,520,1928,
237,1,522,523,1936,
238,1,525,524,1926,1949
239,1,527,526,1938,1966
240,1,529,528,1933,
241,1,530,531,1932,
242,1,532,533,1925,
243,1,534,535,1915,
244,1,537,536,1924,
245,1,539,538,1921,
246,1,540,541,1939,
247,1,542,543,1934,
248,1,545,544,1939,
249,1,546,547,1945,
250,1,549,550,1922,
251,1,551,552,1932,
252,1,553,554,1925,1939
253,1,556,555,1922,
254,1,558,557,1916,
255,1,560,559,1918,
256,1,562,561,1920,
257,1,563,564,1921,
258,1,566,565,1929,
259,1,568,569,1926,
260,1,571,570,1926,
261,1,573,572,1930,1957
262,1,574,575,1926,1935
263,1,577,578,1914,
264,1,580,579,1922,
265,1,582,581,1926,
266,1,583,584,1918,
267,1,585,586,1928,
268,1,588,587,1918,
269,1,589,590,1926,
270,1,591,592,1944,
271,1,594,593,1940,
272,1,597,596,1947,
273,1,598,599,1930,
274,1,600,601,1927,
275,1,603,602,1936,
276,1,604,605,1927,
277,1,606,607,1926,
278,1,609,610,1922,
279,1,612,611,1927,
280,1,613,614,1928,
281,1,616,615,1934,1961
282,1,618,617,1928,
283,1,619,620,1939,
284,1,622,621,1941,
285,1,627,628,1939,
286,1,629,630,1924,
287,1,633,632,1920,
288,1,635,634,1919,
289,1,636,637,1928,1950
290,1,638,639,1932,
291,1,640,641,1931,
292,1,643,642,1938,
293,1,644,645,1937,1960
294,1,646,647,1924,
295,1,649,648,1931,
296,1,651,650,1933,
297,1,652,653,1933,
298,1,654,655,1929,1933
